SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,4773 RIDGEWOOD Dr,Fremont,CA,94555,668888,4,2.5,Forest Park,1637,3150,1987,2,Garage,,Sold,,,,,668888,2012-06-06,647000.0,http://www.redfin.com/CA/Fremont/4773-Ridgewood-Dr-94555/home/705544,East Bay Regional Data (EBRD),40571197,Intero Real Estate Services,N,Y,37.564884,-122.041828,false
Past Sale,Single Family Residential,4849 Ridgewood Dr,Fremont,CA,94555,619800,3,2.5,Forest Park,1384,3367,1988,2,Garage,,Sold,,,,,619800,2012-11-27,605000.0,http://www.redfin.com/CA/Fremont/4849-Ridgewood-Dr-94555/home/1529502,East Bay Regional Data (EBRD),40586580,Intero Real Estate Services,N,Y,37.563356,-122.043093,false
Past Sale,Single Family Residential,4793 Ridgewood Dr,Fremont,CA,94555,699988,4,2.5,Forest Park,1647,3150,1987,2,Garage,,Sold,,,,,699988,2012-11-19,703000.0,http://www.redfin.com/CA/Fremont/4793-Ridgewood-Dr-94555/home/1147127,East Bay Regional Data (EBRD),40589283,Intero Real Estate Services,N,Y,37.564482,-122.042161,false
Past Sale,Single Family Residential,4789 RIDGEWOOD Dr,Fremont,CA,94555,680000,4,2.5,Ardenwood,1637,3150,1988,2,Garage,,Sold,,,,,680000,2012-11-30,685000.0,http://www.redfin.com/CA/Fremont/4789-Ridgewood-Dr-94555/home/1698876,East Bay Regional Data (EBRD),40591957,Marinelli Real Estate,N,Y,37.564563,-122.042094,false
Past Sale,Single Family Residential,34197 Finnigan Ter,Fremont,CA,94555,,4,2.5,94555,1857,,1990,,,,,,,,,,2012-05-22,640000.0,http://www.redfin.com/CA/Fremont/34197-Finnigan-Ter-94555/home/1152046,,,,N,Y,37.563634,-122.057823,
Past Sale,Single Family Residential,4725 DEEP CREEK Rd,Fremont,CA,94555,575000,4,2.0,Fremont,1693,5634,1985,2,Garage,,Sold,,,,,575000,2012-05-30,628000.0,http://www.redfin.com/CA/Fremont/4725-Deep-Creek-Rd-94555/home/1236621,East Bay Regional Data (EBRD),40570599,BayOne Real Estate Inv Corp,N,Y,37.571682,-122.055399,false
Past Sale,Single Family Residential,5101 XAVIER Cmn,Fremont,CA,94555,739000,4,2.5,Ardenwood,1950,3150,1990,2,Garage,,Sold,,,,,739000,2012-06-04,715000.0,http://www.redfin.com/CA/Fremont/5101-Xavier-Cmn-94555/home/959802,East Bay Regional Data (EBRD),40570918,Excel Realty,N,Y,37.564146,-122.052443,false
Past Sale,Single Family Residential,5365 SHAMROCK Cmn,Fremont,CA,94555,658000,3,2.5,Ardenwood,1686,3760,1990,2,Garage,,Sold,,,,,658000,2012-06-07,670000.0,http://www.redfin.com/CA/Fremont/5365-Shamrock-Cmn-94555/home/1092673,East Bay Regional Data (EBRD),40571555,BayOne Real Estate Inv Corp,N,Y,37.563188,-122.057156,false
Past Sale,Single Family Residential,5387 QUEBEC Cmn,Fremont,CA,94555,615000,3,2.5,Ardenwood,1641,3840,1991,2,Garage,,Sold,,,,,615000,2012-06-06,628000.0,http://www.redfin.com/CA/Fremont/5387-Quebec-Cmn-94555/home/1265197,East Bay Regional Data (EBRD),40571563,BayOne Real Estate Inv Corp,N,Y,37.560587,-122.05284,false
Past Sale,Single Family Residential,5887 REMER Ter,Fremont,CA,94555,599000,3,2.5,Hampton Place,1611,3600,1988,2,Garage,,Sold,,,,,599000,2012-06-20,635000.0,http://www.redfin.com/CA/Fremont/5887-Remer-Ter-94555/home/1692023,East Bay Regional Data (EBRD),40572253,Intero Real Estate Services,N,Y,37.555676,-122.057135,false
